src,width,height,frames,fps,duration_s,mean_luma,mean_luma_std,mean_frame_diff,red_pixel_fraction,suspect
assets/videos/kimodo_success_candidates_review/success__hrb_087_high_step_cables__physical_pass_no_fall.mp4,640,360,199,50.0,3.98,68.648,14.461,10.859,0.005971,
assets/videos/appendix_metric_failures/torque_demand__hrb_062_inspect_machine.mp4,640,360,199,50.0,3.98,68.576,13.743,9.631,0.006977,
assets/videos/appendix_metric_failures/torque_demand__hrb_025_air_guitar.mp4,640,360,199,50.0,3.98,68.467,13.056,5.796,0.010926,
assets/videos/appendix_metric_failures/torque_demand__hrb_094_forward_roll.mp4,640,360,199,50.0,3.98,68.369,13.354,11.0,0.00655,
assets/videos/appendix_metric_failures/root_wrench__hrb_002_backward_walk.mp4,640,360,199,50.0,3.98,68.565,13.499,9.894,0.008357,
assets/videos/appendix_metric_failures/root_wrench__hrb_053_tray_walk.mp4,640,360,199,50.0,3.98,68.576,14.24,10.822,0.007957,
assets/videos/appendix_metric_failures/root_wrench__hrb_089_slope_up.mp4,640,360,199,50.0,3.98,68.603,13.823,10.423,0.007214,
assets/videos/appendix_metric_failures/self_contact__hrb_005_turn_in_place.mp4,640,360,199,50.0,3.98,68.619,14.216,8.603,0.00861,
assets/videos/appendix_metric_failures/self_contact__hrb_046_press_panel.mp4,640,360,199,50.0,3.98,68.561,13.362,6.466,0.009981,
assets/videos/appendix_metric_failures/self_contact__hrb_079_point_left.mp4,640,360,199,50.0,3.98,68.312,12.303,1.497,0.009812,
assets/videos/appendix_metric_failures/nonfoot_floor__hrb_027_hand_crawl.mp4,640,360,199,50.0,3.98,68.628,14.182,12.28,0.010105,
assets/videos/appendix_metric_failures/nonfoot_floor__hrb_028_elbow_crawl.mp4,640,360,199,50.0,3.98,68.747,15.762,10.058,0.009979,
assets/videos/appendix_metric_failures/nonfoot_floor__hrb_098_knee_slide.mp4,640,360,199,50.0,3.98,68.662,14.642,10.443,0.007477,
assets/videos/appendix_metric_failures/contact_support__hrb_007_vertical_jump.mp4,640,360,199,50.0,3.98,68.275,12.19,6.026,0.009542,
assets/videos/appendix_metric_failures/contact_support__hrb_018_happy_dance.mp4,640,360,199,50.0,3.98,68.8,14.881,9.645,0.009858,
assets/videos/appendix_metric_failures/contact_support__hrb_088_duck_under_bar.mp4,640,360,199,50.0,3.98,68.672,14.33,9.812,0.007311,
assets/videos/appendix_metric_failures/sonic_trackability__hrb_001_forward_walk.mp4,640,360,199,50.0,3.98,68.868,15.306,11.2,0.005956,
assets/videos/appendix_metric_failures/sonic_trackability__hrb_004_side_shuffle_right.mp4,640,360,199,50.0,3.98,68.613,14.576,10.06,0.006847,
assets/videos/appendix_metric_failures/sonic_trackability__hrb_051_carry_box.mp4,640,360,199,50.0,3.98,68.512,14.34,10.91,0.005697,
assets/videos/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_002_backward_walk__no_to_yes.mp4,644,360,199,50.0,3.98,70.361,20.872,11.315,0.015876,
assets/videos/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_001_forward_walk__no_to_no.mp4,644,360,199,50.0,3.98,70.824,22.626,12.445,0.013697,
assets/videos/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_007_vertical_jump__no_to_no.mp4,644,360,199,50.0,3.98,69.852,19.234,8.142,0.019378,
assets/videos/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_012_lateral_bound__yes_to_yes.mp4,644,360,199,50.0,3.98,70.343,21.895,11.929,0.014158,
assets/videos/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_004_side_shuffle_right__no_to_no.mp4,644,360,199,50.0,3.98,70.221,21.295,11.42,0.01554,
assets/videos/appendix_repair_by_category/dance_expressive/repair_delta__hrb_018_happy_dance__no_to_no.mp4,644,360,199,50.0,3.98,70.616,21.811,10.127,0.021019,
assets/videos/appendix_repair_by_category/dance_expressive/repair_delta__hrb_026_salute_step__no_to_no.mp4,644,360,199,50.0,3.98,70.224,20.219,10.355,0.018152,
assets/videos/appendix_repair_by_category/dance_expressive/repair_delta__hrb_024_scared_sneak__yes_to_yes.mp4,644,360,199,50.0,3.98,70.644,21.549,11.109,0.02111,
assets/videos/appendix_repair_by_category/dance_expressive/repair_delta__hrb_022_disco_point__no_to_no.mp4,644,360,199,50.0,3.98,70.585,21.298,9.555,0.018551,
assets/videos/appendix_repair_by_category/dance_expressive/repair_delta__hrb_016_moonwalk__yes_to_yes.mp4,644,360,199,50.0,3.98,70.163,20.688,11.193,0.013885,
assets/videos/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_034_pushup_pose__yes_to_yes.mp4,644,360,199,50.0,3.98,70.796,22.489,9.388,0.023397,
assets/videos/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_029_bear_crawl__no_to_no.mp4,644,360,199,50.0,3.98,71.162,24.689,10.843,0.020419,
assets/videos/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_027_hand_crawl__no_to_no.mp4,644,360,199,50.0,3.98,70.591,21.76,11.752,0.021774,
assets/videos/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_035_sit_to_stand__no_to_no.mp4,644,360,199,50.0,3.98,70.716,22.586,11.257,0.020057,
assets/videos/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_036_roll_to_kneel__no_to_no.mp4,644,360,199,50.0,3.98,70.505,20.792,11.612,0.023175,
assets/videos/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_046_press_panel_sequence__no_to_no.mp4,644,360,199,50.0,3.98,70.126,20.144,5.412,0.021027,
assets/videos/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_043_wipe_table__yes_to_yes.mp4,644,360,199,50.0,3.98,69.881,19.5,2.279,0.022609,
assets/videos/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_040_pick_floor_left__no_to_no.mp4,644,360,199,50.0,3.98,70.173,20.099,9.122,0.021504,
assets/videos/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_039_pick_floor_right__no_to_no.mp4,644,360,199,50.0,3.98,70.968,22.99,6.977,0.025827,
assets/videos/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_049_lean_right_reach__yes_to_yes.mp4,644,360,199,50.0,3.98,70.415,20.829,3.963,0.02131,
assets/videos/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_053_tray_walk__no_to_yes.mp4,644,360,199,50.0,3.98,70.343,21.734,12.748,0.016689,
assets/videos/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_051_carry_box_front__no_to_yes.mp4,644,360,199,50.0,3.98,70.331,22.014,12.563,0.014328,
assets/videos/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_061_carry_turn__yes_to_yes.mp4,644,360,199,50.0,3.98,70.426,22.241,12.05,0.012793,
assets/videos/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_054_push_cart__yes_to_yes.mp4,644,360,199,50.0,3.98,70.868,23.11,13.403,0.01825,
assets/videos/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_062_inspect_machine__no_to_no.mp4,644,360,199,50.0,3.98,70.376,21.231,11.416,0.014657,
assets/videos/appendix_repair_by_category/balance_recovery/repair_delta__hrb_070_backward_recovery__yes_to_yes.mp4,644,360,199,50.0,3.98,70.365,20.895,11.928,0.018276,
assets/videos/appendix_repair_by_category/balance_recovery/repair_delta__hrb_066_single_leg_balance_left__no_to_no.mp4,644,360,199,50.0,3.98,70.441,20.514,5.974,0.021208,
assets/videos/appendix_repair_by_category/balance_recovery/repair_delta__hrb_069_stumble_right__yes_to_yes.mp4,644,360,199,50.0,3.98,70.412,21.504,12.692,0.01524,
assets/videos/appendix_repair_by_category/balance_recovery/repair_delta__hrb_071_ankle_sway__yes_to_yes.mp4,644,360,199,50.0,3.98,69.839,19.042,2.824,0.02097,
assets/videos/appendix_repair_by_category/balance_recovery/repair_delta__hrb_073_toe_stand__yes_to_yes.mp4,644,360,199,50.0,3.98,69.85,19.491,5.245,0.019285,
assets/videos/appendix_repair_by_category/communication_safety/repair_delta__hrb_082_yield_step__yes_to_yes.mp4,644,360,199,50.0,3.98,70.274,20.95,11.83,0.018017,
assets/videos/appendix_repair_by_category/communication_safety/repair_delta__hrb_078_stop_signal__yes_to_yes.mp4,644,360,199,50.0,3.98,70.471,22.274,11.648,0.016806,
assets/videos/appendix_repair_by_category/communication_safety/repair_delta__hrb_084_direct_traffic__yes_to_yes.mp4,644,360,199,50.0,3.98,70.533,22.552,11.586,0.018561,
assets/videos/appendix_repair_by_category/communication_safety/repair_delta__hrb_079_point_left__no_to_no.mp4,644,360,199,50.0,3.98,69.844,19.328,1.849,0.019407,
assets/videos/appendix_repair_by_category/communication_safety/repair_delta__hrb_083_look_around__yes_to_yes.mp4,644,360,199,50.0,3.98,70.581,22.195,10.524,0.015896,
assets/videos/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_089_slope_up__no_to_no.mp4,644,360,199,50.0,3.98,70.358,21.095,11.381,0.01479,
assets/videos/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_092_tight_turn_back__no_to_no.mp4,644,360,199,50.0,3.98,70.428,22.361,13.38,0.016055,
assets/videos/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_091_swerve_left__no_to_no.mp4,644,360,199,50.0,3.98,70.165,20.536,10.786,0.015457,
assets/videos/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_088_duck_under_bar__no_to_no.mp4,644,360,199,50.0,3.98,70.46,21.614,11.574,0.016459,
assets/videos/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_085_step_over_right__no_to_no.mp4,644,360,199,50.0,3.98,70.327,21.015,11.382,0.017098,
assets/videos/appendix_repair_by_category/athletic_stress/repair_delta__hrb_094_forward_roll__no_to_no.mp4,644,360,199,50.0,3.98,70.229,21.398,11.894,0.015701,
assets/videos/appendix_repair_by_category/athletic_stress/repair_delta__hrb_100_handstand_kickup__no_to_no.mp4,644,360,199,50.0,3.98,70.741,23.386,10.996,0.017614,
assets/videos/appendix_repair_by_category/athletic_stress/repair_delta__hrb_093_cartwheel_attempt__no_to_yes.mp4,644,360,199,50.0,3.98,70.105,21.615,13.448,0.012255,
assets/videos/appendix_repair_by_category/athletic_stress/repair_delta__hrb_099_side_roll_recovery__no_to_no.mp4,644,360,199,50.0,3.98,70.34,21.668,12.85,0.016412,
assets/videos/appendix_repair_by_category/athletic_stress/repair_delta__hrb_095_burpee__no_to_no.mp4,644,360,199,50.0,3.98,70.985,23.343,10.33,0.021148,
