clip,reference,K,frames,active_frames,fell,fall_frame,track_seconds,mean_tracking_rmse,mean_root_error,mean_action_norm,mean_torque_saturation_frac,final_root_z,init_reference_pose
hrb_068_stumble_left_Kimodo,hrb_068_stumble_left_Kimodo,1,199,96,True,96,1.92,0.21312891386376287,0.8250203948270234,8.90389113648196,0.0,0.5435771225958868,True
hrb_069_stumble_right_Kimodo,hrb_069_stumble_right_Kimodo,1,199,136,True,136,2.72,0.25890159041585886,0.5638581076128358,10.577124779456598,0.0,0.546628819679556,True
hrb_070_backward_recovery_Kimodo,hrb_070_backward_recovery_Kimodo,1,199,169,True,169,3.38,0.1543067154586741,0.26818986299378467,6.8403955700099575,0.0,0.5419915768932408,True
hrb_071_ankle_sway_Kimodo,hrb_071_ankle_sway_Kimodo,1,199,199,False,199,3.98,0.0710906288084645,0.02379657996584985,5.946757997107035,0.0,0.784842756780144,True
hrb_072_hip_strategy_Kimodo,hrb_072_hip_strategy_Kimodo,1,199,199,False,199,3.98,0.0912602333600871,0.02128011792899234,3.467240289462631,0.0,0.7667878127240619,True
hrb_073_toe_stand_Kimodo,hrb_073_toe_stand_Kimodo,1,199,199,False,199,3.98,0.14240148158363183,0.05436628549063842,4.855856082471654,0.0,0.7847836546939204,True
hrb_074_heel_rock_Kimodo,hrb_074_heel_rock_Kimodo,1,199,199,False,199,3.98,0.09512755509672471,0.02475380383604708,5.043140860795274,0.0,0.7819993442042595,True
hrb_075_catch_balance_arms_Kimodo,hrb_075_catch_balance_arms_Kimodo,1,199,199,False,199,3.98,0.10515985145650568,0.036827835252353884,8.648137546379013,0.0,0.7814745885245196,True
hrb_076_narrow_stance_hold_Kimodo,hrb_076_narrow_stance_hold_Kimodo,1,199,199,False,199,3.98,0.06867035919018982,0.027801960439937035,5.92595942685425,0.0,0.7861428474943655,True
hrb_077_wave_Kimodo,hrb_077_wave_Kimodo,1,199,193,True,193,3.86,0.18142316452089133,0.14801564598357592,11.88599646291673,0.0,0.5495442413891515,True
hrb_078_stop_signal_Kimodo,hrb_078_stop_signal_Kimodo,1,199,145,True,145,2.9,0.2927370420344914,0.6669070476520857,15.00336483305894,0.0,0.5164454359784524,True
hrb_079_point_left_Kimodo,hrb_079_point_left_Kimodo,1,199,199,False,199,3.98,0.09189698111639326,0.005652192404995875,6.0245794924552225,0.0,0.7847046252107935,True
hrb_080_point_right_Kimodo,hrb_080_point_right_Kimodo,1,199,199,False,199,3.98,0.09764032340609224,0.028714834354413393,8.289454213542056,0.0,0.7859702341107834,True
hrb_081_beckon_Kimodo,hrb_081_beckon_Kimodo,1,199,199,False,199,3.98,0.09644058308895832,0.03303848930054952,5.881790821986489,0.0,0.7855412804305597,True
hrb_082_yield_step_Kimodo,hrb_082_yield_step_Kimodo,1,199,199,False,199,3.98,0.1046578594672774,0.2164916922571395,11.79541374384808,0.0,0.7875382590405602,True
hrb_083_look_around_Kimodo,hrb_083_look_around_Kimodo,1,199,117,True,117,2.34,0.20987802895502505,0.1046541037037346,8.613661904039887,0.0,0.5402543084302912,True
hrb_084_direct_traffic_Kimodo,hrb_084_direct_traffic_Kimodo,1,199,58,True,58,1.16,0.3441360392081638,0.049663621754608124,12.437334781069683,0.0,0.5286429889595526,True
hrb_085_step_over_right_Kimodo,hrb_085_step_over_right_Kimodo,1,199,199,False,199,3.98,0.21597056250180585,0.30377200427909723,9.881934719916968,0.0,0.7955204782984711,True
hrb_086_step_over_left_Kimodo,hrb_086_step_over_left_Kimodo,1,199,199,False,199,3.98,0.0867163514271146,0.0960855321865033,4.483965015438099,0.0,0.7855585715834461,True
hrb_087_high_step_cables_Kimodo,hrb_087_high_step_cables_Kimodo,1,199,199,False,199,3.98,0.19096635161183614,1.15974675450831,6.83434961467522,0.0,0.7686947576852646,True
hrb_088_duck_under_bar_Kimodo,hrb_088_duck_under_bar_Kimodo,1,199,199,False,199,3.98,0.14063169903861533,0.3061745186249412,5.55048286271934,0.0,0.7846704878889293,True
hrb_089_slope_up_Kimodo,hrb_089_slope_up_Kimodo,1,199,199,False,199,3.98,0.11612460157340629,0.3198739806818353,5.737310637384612,0.0,0.7745809472639898,True
hrb_090_slope_down_Kimodo,hrb_090_slope_down_Kimodo,1,199,199,False,199,3.98,0.14434030209283127,0.46166723183788344,6.629896865149892,0.0,0.7140274046412807,True
hrb_091_swerve_left_Kimodo,hrb_091_swerve_left_Kimodo,1,199,199,False,199,3.98,0.12595780501875753,0.38772015804877197,8.26142736470106,0.0,0.7815040507846261,True
hrb_092_tight_turn_back_Kimodo,hrb_092_tight_turn_back_Kimodo,1,199,63,True,63,1.26,0.287840890250748,0.0690378068534174,11.172687179795778,0.0,0.5156828597075549,True
hrb_093_cartwheel_attempt_Kimodo,hrb_093_cartwheel_attempt_Kimodo,1,199,61,True,61,1.22,0.5022658870551415,0.17602379277818925,22.608625003598807,0.0,0.532824368124209,True
hrb_094_forward_roll_Kimodo,hrb_094_forward_roll_Kimodo,1,199,63,True,63,1.26,0.13001368857201115,0.04363266234498719,7.140670019496555,0.0,0.5422406317397108,True
hrb_095_burpee_Kimodo,hrb_095_burpee_Kimodo,1,199,1,True,1,0.02,0.042900628530277464,0.004905220744600991,5.124273505149083,0.0,0.42486557183993845,True
hrb_096_sprawl_recovery_Kimodo,hrb_096_sprawl_recovery_Kimodo,1,199,31,True,31,0.62,0.18802691618461492,0.04366878703446377,7.56860952863011,0.0,0.5439053725580332,True
hrb_097_split_squat_jump_Kimodo,hrb_097_split_squat_jump_Kimodo,1,199,171,True,171,3.42,0.19199488934833797,0.18720747032126261,9.445272321990407,0.0,0.5092809045377973,True
hrb_098_knee_slide_Kimodo,hrb_098_knee_slide_Kimodo,1,199,39,True,39,0.78,0.08268929758720937,0.018652878276022602,5.305851082186141,0.0,0.5426954668039149,True
hrb_099_side_roll_recovery_Kimodo,hrb_099_side_roll_recovery_Kimodo,1,199,1,True,1,0.02,0.05972363579792617,0.003441589174778349,6.7385659519667955,0.0,0.4765640485423721,True
hrb_100_handstand_kickup_Kimodo,hrb_100_handstand_kickup_Kimodo,1,199,7,True,7,0.14,0.25782190805148847,0.04829793207289979,9.77702944928073,0.0,0.5421691295898647,True
